id_compra,id_cliente,fecha_compra,producto,precio,ciudad,minutos_sesion,id_producto
2043,1063,2025/13/40,Laptop,,Cali,9.4,4104
2044,1100,3/4/2025,Laptop,265.57, MEDELLIN,5.3,4077
2045,1025,25/4/2025,Teclado,402.56,bogota,11.3,4071
2046,1038,6/3/2025,Monitor,301.11,Cali,14.7,4024
2047,1016,2025/13/40,Audifonos,255.17, MEDELLIN,8.2,4103
2048,1050,3-6-2025,Mouse,372.88,,4.5,4041
2049,1063,2025/13/40,Teclado,337.97,,17.1,4102
2050,1026,6/4/2025,Audifonos,234.52,Bogota,4.7,4054
2051,1032,4-22-2025,Mouse,,Cali,9.9,4096
2052,1117,15/5/2025,Laptop,320.02,,6.9,4028
2053,1007,15/5/2025,Monitor,241.27,cali,11.5,4114
2054,1035,2025/13/40,Mouse,381.34,bogota,12.7,4073
2055,1103,2025/13/40,Audifonos,321.49,Cali,45.6,4061
2056,1081,2025/13/40,Laptop,232.47,,10.6,4107
2057,1099,5/4/2025,Mouse,393.88,,4.8,4091
2058,1030,2-9-2025,Monitor,328.29,Medellin ,6.7,4089
2059,1109,2025/13/40,Audifonos,271.78,Medellin ,18.2,4020
2060,1046,21/1/2025,Teclado,331.44,Medellin ,10.5,4025
2061,1040,20/3/2025,Mouse,262.18,,1.8,4090
2062,1016,2025/13/40,Audifonos,132.92,cali,7.0,4070
2063,1051,24/5/2025,Teclado,283.64,Cali,12.3,4021
2064,1025,18/4/2025,Laptop,189.31,,,4104
2065,1048,4-22-2025,Laptop,300.85,bogota,18.3,4012
2066,1093,2025/13/40,Monitor,303.55,Bogota,6.2,4048
2067,1044,2025/13/40,Teclado,172.55, MEDELLIN,13.6,4091
2068,1112,2025/13/40,Laptop,140.44, MEDELLIN,,4028
2069,1054,3-10-2025,Monitor,277.71, MEDELLIN,8.3,4096
2070,1086,2025/13/40,Monitor,357.09,Bogota,7.6,4118
2071,1066,3-8-2025,Mouse,301.8,,11.3,4050
2072,1096,4-15-2025,Audifonos,187.16, MEDELLIN,13.0,4015
2073,1067,4-5-2025,Monitor,325.22,bogota,5.4,4047
2074,1081,7/2/2025,Laptop,243.76,bogota,9.3,4059
2075,1081,2025/13/40,Laptop,,Cali,3.0,4068
2076,1019,2025/13/40,Monitor,378.95, MEDELLIN,1.0,4011
2077,1019,5-5-2025,Mouse,262.36,Bogota,13.0,4052
2078,1043,3-20-2025,Audifonos,267.3, MEDELLIN,9.6,4073
2079,1029,2025/13/40,Audifonos,279.86,,,4114
2080,1080,1-8-2025,Laptop,219.11,,11.0,4117
2081,1021,3-14-2025,Monitor,222.69,,8.4,4086
2082,1036,3-6-2025,Audifonos,380.8,Cali,8.5,4040
2083,1037,17/2/2025,Monitor,361.75, MEDELLIN,9.9,4086
2084,1116,22/2/2025,Monitor,246.07,bogota,4.4,4090
2085,1039,12/2/2025,Mouse,239.77,Cali,10.0,4044
2086,1016,2-21-2025,Monitor,262.51,,8.1,4053
2087,1106,19/1/2025,Monitor,213.94,Medellin ,10.3,4020
2088,1010,4/3/2025,Teclado,,bogota,11.0,4053
2089,1097,24/5/2025,Teclado,390.06,,9.2,4082
2090,1098,11/4/2025,Monitor,1968.3000000000002,bogota,,4097
2091,1072,2/2/2025,Teclado,294.24,,2.9,4000
2092,1088,5-11-2025,Laptop,220.25,,4.8,4113
2093,1100,2025/13/40,Monitor,2954.5,Medellin ,10.5,4018
2094,1100,2025/13/40,Mouse,205.79,,8.9,4011
2095,1061,2025/13/40,Audifonos,416.75,Bogota,10.2,4117
2096,1079,18/1/2025,Monitor,364.85,Bogota,13.4,4104
2097,1108,2-15-2025,Teclado,361.72,cali,3.0,4006
2098,1013,7/5/2025,Laptop,456.36,,7.2,4058
2099,1086,2025/13/40,Teclado,290.76,,,4017
2100,1058,7/2/2025,Teclado,,Medellin ,8.1,4013
2101,1030,12/3/2025,Laptop,313.33,,6.1,4039
2102,1089,2025/13/40,Teclado,310.53,Bogota,13.6,4085
2103,1024,18/5/2025,Mouse,316.02,,11.6,4065
2104,1054,3-10-2025,Monitor,342.8,,8.2,4098
2105,1038,17/4/2025,Laptop,298.54,bogota,5.8,4015
2106,1055,15/4/2025,Teclado,273.27,bogota,13.8,4102
2107,1083,5-1-2025,Monitor,299.47,,37.3,4119
2108,1029,2-4-2025,Laptop,183.98,Bogota,3.2,4087
2109,1067,4-27-2025,Laptop,261.09, MEDELLIN,11.2,4069
2110,1038,3-13-2025,Audifonos,370.03, MEDELLIN,14.5,4108
2111,1109,2-11-2025,Laptop,275.05,Bogota,7.6,4002
2112,1119,5-5-2025,Laptop,277.6, MEDELLIN,3.3,4049
2113,1081,2025/13/40,Laptop,266.87, MEDELLIN,10.5,4119
2114,1110,1-9-2025,Audifonos,292.02,,12.5,4055
2115,1066,28/3/2025,Monitor,317.15,bogota,9.3,4039
2116,1024,2025/13/40,Monitor,242.06,cali,4.6,4037
2117,1071,3-5-2025,Audifonos,333.06, MEDELLIN,8.2,4047
2118,1076,5/4/2025,Teclado,299.01,bogota,12.8,4095
2119,1061,5-19-2025,Teclado,4119.0,cali,11.3,4039
