id_pedido,id_compra,fecha_pedido,estado_pedido,metodo_envio,costo_envio
3040,2043,2025/13/40,Enviado,Estandar,28.51
3041,2094,1-18-2025,,pickup,26.92
3042,2091,2025/13/40,ENTREGADO,express,30.58
3043,2079,4-6-2025,en_proceso,pickup,18.97
3044,2021,2025/13/40,En proceso,pickup,28.68
3045,2074,2025/13/40,cancelado,ESTANDAR,20.99
3046,2011,25/5/2025,entregado,ESTANDAR,12.21
3047,2109,13/4/2025,Enviado,pickup,25.27
3048,2118,2025/13/40,Cancelado, ,13.44
3049,2055,2025/13/40,en_proceso,Express,25.99
3050,2027,2025/13/40,entregado,Express,
3051,2060,2025/13/40,En proceso,ESTANDAR,22.41
3052,2048,26/5/2025,en_proceso,pickup,17.9
3053,2023,4-5-2025,Enviado, ,21.12
3054,2035,2-21-2025,En proceso, ,25.24
3055,2099,2-15-2025,ENTREGADO,ESTANDAR,23.0
3056,2114,3-26-2025,En proceso, ,25.67
3057,2011,3-13-2025,cancelado,pickup,26.88
3058,2098,2-8-2025,cancelado,pickup,23.89
3059,2086,2-12-2025,cancelado,,19.87
3060,2061,4-15-2025,,express,25.86
3061,2119,1-20-2025,cancelado,express,21.34
3062,2088,1-28-2025,en_proceso,ESTANDAR,16.43
3063,2034,2025/13/40,ENTREGADO,express,
3064,2064,24/4/2025,entregado,express,16.17
3065,2009,3-22-2025,,Express,16.2
3066,2079,2-10-2025,cancelado,Express,19.18
3067,2007,12/3/2025,Cancelado,Express,14.27
3068,2056,28/4/2025,Cancelado, ,11.82
3069,2075,17/5/2025,En proceso, ,26.03
3070,2119,2025/13/40,ENTREGADO,Estandar,18.48
3071,2060,4-18-2025,ENTREGADO,ESTANDAR,21.9
3072,2001,1-5-2025,,ESTANDAR,23.66
3073,2068,2025/13/40,cancelado,express,19.6
3074,2077,10/4/2025,entregado, ,29.86
3075,2097,18/1/2025,Enviado,Express,18.93
3076,2056,2025/13/40,Enviado,,15.64
3077,2044,4-16-2025,cancelado,Estandar,
3078,2105,4-23-2025,entregado,express,22.02
3079,2084,23/1/2025,,Express,25.37
3080,2085,2025/13/40,Cancelado,,19.18
3081,2118,2-11-2025,, ,20.92
3082,2112,27/4/2025,En proceso,,20.83
3083,2045,1/4/2025,Cancelado,Express,23.19
3084,2052,5-9-2025,en_proceso,,14.28
3085,2061,4-2-2025,en_proceso, ,11.93
3086,2032,25/1/2025,,express,123.3
3087,2072,2025/13/40,en_proceso,Express,22.82
3088,2101,2025/13/40,En proceso,express,21.78
3089,2069,18/2/2025,cancelado, ,18.51
3090,2074,1-24-2025,entregado,ESTANDAR,26.88
3091,2053,2025/13/40,cancelado, ,26.69
3092,2014,19/5/2025,cancelado,express,27.93
3093,2088,17/1/2025,ENTREGADO,ESTANDAR,18.48
3094,2010,3-8-2025,En proceso,ESTANDAR,19.83
3095,2077,2-2-2025,Cancelado,,35.71
3096,2071,6/2/2025,entregado,pickup,20.17
3097,2092,25/2/2025,entregado,pickup,27.23
3098,2043,2025/13/40,Cancelado,pickup,10.88
3099,2047,2025/13/40,,Estandar,26.59
3100,2106,2025/13/40,,Estandar,20.43
3101,2024,2025/13/40,Enviado,ESTANDAR,16.23
3102,2067,5-20-2025,Enviado,pickup,18.6
3103,2026,2025/13/40,Enviado,ESTANDAR,79.3
3104,2029,2/2/2025,Cancelado,pickup,20.82
3105,2076,26/4/2025,entregado,pickup,14.71
3106,2107,7/2/2025,entregado,ESTANDAR,
3107,2030,10/1/2025,en_proceso,Express,20.32
3108,2041,4-20-2025,en_proceso,express,21.12
3109,2119,2025/13/40,en_proceso,ESTANDAR,26.82
3110,2012,22/5/2025,ENTREGADO, ,22.9
3111,2087,25/2/2025,en_proceso,pickup,25.8
3112,2041,2025/13/40,Enviado,,
3113,2036,2025/13/40,cancelado,ESTANDAR,22.18
3114,2088,2-19-2025,en_proceso,,24.46
3115,2096,2025/13/40,ENTREGADO,express,22.51
3116,2032,5-17-2025,entregado,Estandar,18.2
3117,2047,2025/13/40,Enviado,Express,24.82
3118,2009,14/1/2025,Enviado,ESTANDAR,31.05
3119,2056,2025/13/40,Enviado,Express,28.36
